original_sector_value,hnap_sector_value,graphic_link,fgp_publish,jurisdiction
Société de transport de Sherbrooke,Ville de Sherbrooke;Société de transport de Sherbrooke,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/sts.png,Oui,municipal
Société des célébrations du 375e anniversaire de Montréal,Ville de Montréal;Société des célébrations du 375e anniversaire de Montréal,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/mtl_375.png,Oui,municipal
Société des établissements de plein air du Québec,Société des établissements de plein air du Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/sepaq.png,Oui,provincial
Société des musées du Québec,no name,No url,Non,provincial
Société du Grand Théatre,Société du Grand Théatre,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/scgt.png,Oui,provincial
SociéTIC,Ville de Sherbrooke;SociéTIC,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/tic_sherbrooke.png,Oui,provincial
Stationnement de Montréal,Ville de Montréal;Stationnement de Montréal,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/stationnement_mtl.png,Oui,municipal
ZAP Sherbrooke,Ville de Sherbrooke;ZAP Sherbrooke,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/zap_sherbrooke.png,Oui,municipal
RECYC-QUÉBEC,RECYC-QUÉBEC,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/gouv_quebec.png,Oui,provincial
Retraite Québec,Retraite Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/gouv_quebec.png,Oui,provincial
Revenu Québec,Revenu Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/gouv_quebec.png,Oui,provincial
Secrétariat du Conseil du trésor,Secrétariat du Conseil du trésor,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/gouv_quebec.png,Oui,provincial
Société de développement des entreprises culturelles,Société de développement des entreprises culturelles,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/gouv_quebec.png,Oui,provincial
Société de l'assurance automobile du Québec (SAAQ),Société de l'assurance automobile du Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/gouv_quebec.png,Oui,provincial
Société québécoise des infrastructures,Société québécoise des infrastructures,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/gouv_quebec.png,Oui,provincial
Sûreté du Québec,Sûreté du Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/gouv_quebec.png,Oui,provincial
Transition énergétique Québec,Transition énergétique Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/gouv_quebec.png,Oui,provincial
"Ministère de l’Immigration, de la Francisation et de l’Intégration","Ministère de l’Immigration, de la Francisation et de l’Intégration",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/gouv_quebec.png,Oui,provincial
Ville de Saguenay,Ville de Saguenay,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/ville_saguenay.png,Oui,municipal
Agence de mobilité durable,Ville de Montréal;Agence de mobilité durable,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/amd.png,Oui,municipal
Ministère de l'Éducation et Ministère de l'Enseignement supérieur,Ministère de l'Éducation et Ministère de l'Enseignement supérieur,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/gouv_quebec.png,Oui,provincial
Circuit électrique,Circuit électrique,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/Circuit_electrique.png,Oui,provincial
Cefrio,Cefrio,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/cefrio.png,Oui,provincial
